simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
WFC,88.04,2.23,14284092,24.039480552348095,69.53,88.52,8,8,17541621.5,0.93,0.25,-1.36,-4.17,69.62,2.35,62.65,37.35,0.0,52.72,2.28,3.88,,0.02205,-0.01365,0.20405,0.04053,0.01523,5,0.22327360319342485,0.7620611265471079,0.25,-1.36,97.28,2.28,42.03,2026-01-23
ORCL,178.18,2.47,37694094,30.575218257735102,139.39,189.7,9,7,12403377.35,0.74,1.34,-7.97,-6.81,62.63,3.92,32.51,21.58,45.9,47.46,4.74,8.67,,0.02443,-0.08305,0.24251,0.03795,0.03331,4,0.3067650717987519,0.38140944683000755,1.34,-5.0,97.46000000000001,4.74,41.62,2026-01-23
MSFT,451.14,1.58,37424042,16.95443435714521,387.68,459.5,8,8,23960134.967,0.5,0.1,-1.79,-4.35,37.54,2.04,38.25,20.97,40.78,44.58,1.71,7.51,,0.01571,-0.0181,0.18381,0.02312,0.01532,6,0.1327649355205312,0.4539025006314726,0.1,-1.79,94.58,1.71,41.19,2026-01-23
AVGO,325.49,-1.01,31721925,59.43582208749121,181.19,334.42,5,8,25780118.7,1.13,-0.13,-4.24,-3.91,112.02,3.93,81.49,13.55,4.96,57.54,22.22,29.15,,-0.01012,-0.04329,0.66477,0.06148,0.03038,6,0.6754478903575146,1.0,0.0,-4.24,92.46000000000001,22.22,37.24,2026-01-23
JPM,303.63,0.53,7606966,23.473540954196963,243.47,308.22,5,8,10672648.617,0.91,-0.04,-1.38,-4.33,61.11,2.29,23.34,63.19,13.47,51.68,7.76,12.8,,0.00525,-0.01387,0.21333,0.03614,0.01675,3,0.21604394828352838,0.2655973730740086,0.0,-1.38,98.32,7.76,35.92,2026-01-23
UBER,82.56,-2.02,17171788,13.900904136541808,74.48,85.61,5,6,20062117.55,0.21,-0.08,-2.47,-1.6,49.0,3.24,23.98,49.23,26.79,44.97,0.02,0.35,,-0.02038,-0.025,0.12499,0.03067,0.01175,5,0.09375729261301491,0.27368022227835315,0.0,-2.47,94.97,0.02,30.61,2026-01-23
NVDA,184.84,0.83,194715040,50.88179221499374,109.87,184.84,0,8,235188004.55,1.34,-0.91,0.93,0.58,101.77,2.51,4.24,59.37,36.38,66.33,11.17,13.88,,0.00826,0.00924,0.53385,0.05691,0.02902,9,0.5661735362230165,0.024374842131851485,0.0,0.93,83.67,11.17,26.33,2026-01-23
HOOD,106.25,0.31,19928635,84.84186052215291,44.13,109.14,0,8,36777099.35,1.11,-1.18,-11.21,-5.94,191.07,4.56,43.43,17.85,38.72,58.03,9.08,12.67,,0.00311,-0.11894,0.93721,0.09299,0.0344,7,1.0,0.5193230613791362,0.0,-5.0,91.97,9.08,26.01,2026-01-23
PLTR,165.9,0.34,47414969,53.92685032065185,97.3,169.14,0,8,82565531.9,0.99,-1.27,-7.01,-5.42,138.31,4.42,75.44,1.12,23.44,54.28,8.94,12.79,,0.00344,-0.07264,0.67582,0.07433,0.0143,9,0.60507295120725,0.9235918161151806,0.0,-5.0,95.72,8.94,25.71,2026-01-23
BAC,52.45,0.73,36295214,27.872409677769355,39.66,52.51,0,8,46270093.767,1.03,-0.57,-0.06,-3.34,68.75,2.08,2.5,82.5,15.0,55.62,1.66,2.51,,0.00727,-0.00057,0.22864,0.04049,0.00979,8,0.27223775937089545,0.002399595857539783,0.0,-0.06,94.38,1.66,25.36,2026-01-23
